query,type,multi_part,notes
How do pandas and Polars differ for data processing?,COMPARISON,false,
React versus Vue: what are the practical trade-offs?,COMPARISON,false,
"Which is usually cheaper for inference, a small model or a large model?",COMPARISON,false,
Can you contrast batch processing with stream processing?,COMPARISON,false,
AWS Lambda vs a traditional server for an API: pros and cons?,COMPARISON,false,
What's the difference between classification and regression?,COMPARISON,false,
Should I use TF-IDF or embeddings for a simple text search system?,COMPARISON,false,Borderline with INSTRUCTION_HOWTO because it asks what to use.
Compare JWT authentication with session-based authentication.,COMPARISON,false,
MacBook Air or Windows laptop for Python development—which is more practical?,COMPARISON,false,
How is a data analyst role different from an AI engineer role?,COMPARISON,false,
"Which is faster for numerical work, NumPy arrays or regular Python lists?",COMPARISON,false,
RAG versus fine-tuning: what problem does each approach solve?,COMPARISON,false,
Compare synchronous and asynchronous programming in Python.,COMPARISON,false,
Is a relational database or a document database a better fit for user profiles?,COMPARISON,false,
"What's the difference between precision, recall, and F1 score?",COMPARISON,false,
Git merge or rebase—which one should I use on a team?,COMPARISON,false,
Compare server-side rendering and client-side rendering for SEO.,COMPARISON,false,
Write a Python function that removes duplicates from a list while preserving order.,CODE_GEN,false,
Can you give me a SQL query to find the second-highest salary in an employee table?,CODE_GEN,false,
Create a FastAPI endpoint that accepts a JSON payload and returns a prediction.,CODE_GEN,false,
Write pandas code to group sales by month and calculate total revenue.,CODE_GEN,false,
I need a Python script that renames all files in a folder using a numbered pattern.,CODE_GEN,false,
Generate a JavaScript function that debounces a search input.,CODE_GEN,false,
Show me how to implement binary search in Python.,CODE_GEN,false,
Write a PostgreSQL query that finds customers who placed more than five orders.,CODE_GEN,false,
Can you code a simple logistic regression classifier using scikit-learn?,CODE_GEN,false,
Build a React component with a button that toggles dark mode.,CODE_GEN,false,
Give me a Dockerfile for a Python FastAPI application.,CODE_GEN,false,
Write a Python program that reads a CSV and prints rows with missing values.,CODE_GEN,false,
Create a regex in Python that validates a basic email address.,CODE_GEN,false,
Generate SQL to join orders with customers and return each customer's total spending.,CODE_GEN,false,
Write code for calculating cosine similarity between two vectors with NumPy.,CODE_GEN,false,
Can you make a Streamlit app that uploads a CSV and displays basic statistics?,CODE_GEN,false,
Write a Python decorator that measures how long a function takes to run.,CODE_GEN,false,
I need a Java method to reverse a linked list.,CODE_GEN,false,
Create an HTML and CSS card layout with three responsive columns.,CODE_GEN,false,
Write a pandas snippet to fill missing numeric values with the column median.,CODE_GEN,false,
Give me a Bash command that finds all Python files modified in the last seven days.,CODE_GEN,false,
Implement a queue using two stacks in Python.,CODE_GEN,false,
Write a SQL query that ranks products by revenue within each category.,CODE_GEN,false,
Can you generate a Python example of a producer-consumer queue using threading?,CODE_GEN,false,
Create a simple JavaScript fetch call that handles both a successful response and an error.,CODE_GEN,false,
"If a train travels 240 km in 3 hours, what is its average speed?",REASONING_MATH,false,
A shop gives 20% off a $150 item. What is the final price?,REASONING_MATH,false,
"If 5 workers finish a job in 12 days at the same rate, how long would 10 workers take?",REASONING_MATH,false,
What is 17% of 850?,REASONING_MATH,false,
A rectangle is 14 cm long and 9 cm wide. What is its area and perimeter?,REASONING_MATH,true,Contains two distinct calculations.
"If I invest $2,000 at 6% simple annual interest for 4 years, how much interest do I earn?",REASONING_MATH,false,
A class has 18 boys and 22 girls. What percentage of the class are girls?,REASONING_MATH,false,
Solve for x: 3x + 7 = 28.,REASONING_MATH,false,
A car uses 8 liters of fuel per 100 km. How much fuel would it use over 375 km?,REASONING_MATH,false,
What is the probability of rolling an even number with a fair six-sided die?,REASONING_MATH,false,
"If a price rises from 80 to 104, what is the percentage increase?",REASONING_MATH,false,
"A $60 bill is split equally among four people, then each person leaves a $5 tip. What's the total paid per person?",REASONING_MATH,false,
"What is the next number in the sequence 2, 6, 12, 20, 30, ...?",REASONING_MATH,false,
"A bag contains 3 red, 2 blue, and 5 green balls. What is the chance of drawing a blue ball?",REASONING_MATH,false,
"If x + y = 15 and x - y = 3, find x and y.",REASONING_MATH,true,Two values must be solved from two equations.
A company has 500 employees and 12% work remotely. How many employees is that?,REASONING_MATH,false,
"A loan of $10,000 has a 5% annual interest rate. Ignoring compounding, how much interest accrues in one year?",REASONING_MATH,false,
"If 3 notebooks cost $7.50, how much would 8 notebooks cost at the same unit price?",REASONING_MATH,false,
"The average of five numbers is 18. Four of them are 12, 15, 20, and 25. What is the fifth number?",REASONING_MATH,false,
A tank holds 900 liters and is 40% full. How many liters are currently inside?,REASONING_MATH,false,
"If a stock falls 15% from $200 and then rises 15%, does it return to $200? Calculate the final price.",REASONING_MATH,true,Requires reasoning across two sequential percentage changes.
A recipe for 6 people needs 450 grams of rice. How much rice is needed for 10 people?,REASONING_MATH,false,
A cyclist rides 30 km at 20 km/h and then 30 km at 30 km/h. What is the average speed for the whole trip?,REASONING_MATH,false,
"If 2^x = 32, what is x?",REASONING_MATH,false,
A rectangle's length is twice its width and its area is 72 square meters. Find both dimensions.,REASONING_MATH,false,
Summarize this article about renewable energy in three bullet points.,SUMMARY,false,
Can you give me a short summary of the chapter I pasted above?,SUMMARY,false,
TL;DR: what are the key takeaways from this meeting transcript?,SUMMARY,false,
Summarize the main argument of this essay without adding your own opinion.,SUMMARY,false,
Give me the gist of this long email.,SUMMARY,false,
Can you condense this report into five sentences?,SUMMARY,false,
What are the most important points in the text below?,SUMMARY,false,Borderline with SHORT_FACTUAL because it asks for extracted points.
Summarize this research paper for someone who isn't a specialist.,SUMMARY,false,Borderline with EXPLANATION because the audience is non-specialist.
Please shorten these notes into a concise executive summary.,SUMMARY,false,
What happened in this conversation? Give me the short version.,SUMMARY,false,
Turn this article into a quick bullet-point recap.,SUMMARY,false,
"Summarize the following product review, focusing on the buyer's main concerns.",SUMMARY,false,
Can you reduce this document to its central ideas?,SUMMARY,false,
Give me a one-paragraph overview of the text I just shared.,SUMMARY,false,
Summarize the findings section and leave out the methodology.,SUMMARY,false,
What's the main takeaway from this 20-page report?,SUMMARY,false,
"Please provide a concise recap of the meeting, including decisions that were made.",SUMMARY,false,
Can you summarize this news story without changing its meaning?,SUMMARY,false,
Make this long explanation much shorter while keeping the essential information.,SUMMARY,false,Borderline with EXPLANATION because it refers to an explanation but asks for compression.
Give me the highlights from these lecture notes.,SUMMARY,false,
Summarize both documents and point out the common conclusion.,SUMMARY,true,Two documents plus a cross-document conclusion request.
Can you turn this interview transcript into a brief summary?,SUMMARY,false,
What did the author ultimately conclude? Give me a concise summary.,SUMMARY,false,
Condense this technical documentation into a few practical points.,SUMMARY,false,
Summarize this thread and tell me what decision the group reached.,SUMMARY,true,Summary plus a distinct decision-identification request.
Write a funny birthday message for my best friend.,CREATIVE,false,
Give me a short story about a robot that is afraid of rain.,CREATIVE,false,
Write a catchy slogan for a small coffee shop.,CREATIVE,false,
Imagine a city where nobody needs sleep. What is life like there?,CREATIVE,false,
Create a dramatic opening paragraph for a mystery novel.,CREATIVE,false,
Write a playful poem about procrastination.,CREATIVE,false,
Come up with five names for a futuristic AI startup.,CREATIVE,false,
Describe a sunset on Mars in a cinematic way.,CREATIVE,false,
Write a dialogue between a pirate and an astronaut who meet on the Moon.,CREATIVE,false,
Make up a motivational quote about starting over.,CREATIVE,false,
Create a fantasy character who can control shadows but hates darkness.,CREATIVE,false,
Write a witty caption for a photo of someone celebrating after an exam.,CREATIVE,false,
Tell me a bedtime story involving a curious fox and a talking tree.,CREATIVE,false,
Invent a fictional app that solves a ridiculous everyday problem.,CREATIVE,false,
Write a two-minute monologue for a character who just discovered time travel.,CREATIVE,false,
Give me a clever metaphor for learning to code.,CREATIVE,false,Borderline with EXPLANATION because it could be interpreted as an explanatory analogy.
Create a sci-fi plot where the Moon suddenly disappears.,CREATIVE,false,
Write a humorous conversation between SQL and Python as if they were coworkers.,CREATIVE,false,
Come up with a spooky but not-too-scary story set in an abandoned train station.,CREATIVE,false,
Write an Instagram caption for a peaceful beach morning.,CREATIVE,false,
Invent a superhero whose power is remembering every password they've ever seen.,CREATIVE,false,
Write a heartfelt thank-you note to a teacher who inspired me.,CREATIVE,false,
Create a plot twist for a detective story where the witness is actually the detective.,CREATIVE,false,
Give me a funny name for a group chat full of college friends.,CREATIVE,false,
Write a short scene where two rival chefs accidentally fall in love.,CREATIVE,false,
How do I install Python on Windows?,INSTRUCTION_HOWTO,false,
How can I connect a PostgreSQL database to a Python app?,INSTRUCTION_HOWTO,false,
What steps should I follow to deploy a Streamlit app?,INSTRUCTION_HOWTO,false,
How do I create a virtual environment in Python?,INSTRUCTION_HOWTO,false,
Can you walk me through setting up Git for a new project?,INSTRUCTION_HOWTO,false,
How can I make a REST API with FastAPI from scratch?,INSTRUCTION_HOWTO,false,
What's the easiest way to back up a PostgreSQL database?,INSTRUCTION_HOWTO,false,
How do I add environment variables to a Dockerized application?,INSTRUCTION_HOWTO,false,
Can you show me the steps to create a GitHub repository and push my code?,INSTRUCTION_HOWTO,true,Two related setup actions: create repository and push code.
How do I train a scikit-learn model and save it to disk?,INSTRUCTION_HOWTO,false,"Borderline with CODE_GEN because code may be expected, but the primary intent is procedural."
How can I clean missing values in a pandas DataFrame?,INSTRUCTION_HOWTO,false,
Walk me through deploying a Python API on a cloud platform.,INSTRUCTION_HOWTO,false,
How do I create a Docker image from a Dockerfile?,INSTRUCTION_HOWTO,false,
What do I need to do to enable authentication in a FastAPI app?,INSTRUCTION_HOWTO,false,
How can I turn a CSV file into a SQL table?,INSTRUCTION_HOWTO,false,
How do I set up SSH keys for GitHub?,INSTRUCTION_HOWTO,false,
Can you guide me through making a simple RAG pipeline?,INSTRUCTION_HOWTO,false,Borderline with CODE_GEN because implementation code could be requested.
How do I schedule a Python script to run every day?,INSTRUCTION_HOWTO,false,
What are the steps to publish a Python package?,INSTRUCTION_HOWTO,false,
How can I optimize a slow SQL query?,INSTRUCTION_HOWTO,false,
How do I create and use a virtual environment with uv?,INSTRUCTION_HOWTO,false,
Can you explain how to deploy a React frontend and connect it to a backend?,INSTRUCTION_HOWTO,true,"Could be EXPLANATION because of 'explain', but it asks for a deployment procedure."
How do I add pagination to an API endpoint?,INSTRUCTION_HOWTO,false,
How can I move my local project into a new Git branch without losing changes?,INSTRUCTION_HOWTO,false,
How do I troubleshoot a Docker container that exits immediately?,INSTRUCTION_HOWTO,false,
whats the capital of New Zealand?,SHORT_FACTUAL,false,Casual phrasing and missing apostrophe.
Why does my laptop fan get loud when I open lots of apps?,EXPLANATION,false,
React or Angular for a job-focused frontend portfolio?,COMPARISON,false,Casual shorthand.
pls write python code to sort a list without using sort(),CODE_GEN,false,Typo/casual shorthand.
"If I have 3 apples and give away 1, how many are left?",REASONING_MATH,false,
TLDR this paragraph for me,SUMMARY,false,Casual shorthand.
Make up a cool superhero origin story about a data scientist.,CREATIVE,false,
how do i push my code to github?,INSTRUCTION_HOWTO,false,Casual shorthand.
